order_id,order_date,region,channel,product_category,units_sold,unit_price,discount_pct,customer_segment,returned
10001,2025-01-05,North,Online,Electronics,2,499.99,5.0,Consumer,False
10002,2025-01-06,South,Retail,Home,1,129.5,0.0,Corporate,False
10003,2025-01-06,East,Online,Office Supplies,12,3.99,10.0,Small Business,False
10004,2025-01-07,West,Partner,Furniture,1,899.0,15.0,Consumer,True
10005,2025-01-08,North,Online,Home,4,24.99,0.0,Consumer,False
10006,2025-01-09,South,Retail,Electronics,1,1199.0,7.5,Corporate,False
10007,2025-01-10,East,Online,Office Supplies,25,1.49,0.0,Consumer,False
10008,2025-01-11,West,Partner,Electronics,3,249.99,12.0,Small Business,False
10009,2025-01-12,North,Retail,Furniture,1,1299.0,20.0,Corporate,True
10010,2025-01-13,South,Online,Home,6,14.75,5.0,Consumer,False
10011,2025-01-14,East,Retail,Office Supplies,8,6.25,0.0,Small Business,False
10012,2025-01-15,West,Online,Electronics,1,349.0,0.0,Consumer,False
10013,2025-01-16,North,Partner,Home,2,79.99,8.0,Corporate,False
10014,2025-01-17,South,Online,Furniture,1,499.0,0.0,Consumer,False
10015,2025-01-18,East,Partner,Electronics,5,59.99,10.0,Small Business,False
10016,2025-01-19,West,Retail,Home,3,199.0,5.0,Corporate,False
10017,2025-01-20,North,Online,Office Supplies,40,0.99,0.0,Consumer,False
10018,2025-01-21,South,Partner,Furniture,1,749.0,25.0,Small Business,True
10019,2025-01-22,East,Online,Home,2,34.95,0.0,Consumer,False
10020,2025-01-23,West,Online,Electronics,2,799.0,5.0,Corporate,False
